Date,Price,Open,High,Low,Vol.,Change %
01/17/2025,"115,272.08","114,060.38","115,356.12","113,571.96",212.26M,1.26%
01/16/2025,"113,836.74","114,800.98","114,884.63","113,630.45",176.92M,-0.58%
01/15/2025,"114,495.71","115,360.64","115,773.39","114,298.29",263.60M,-0.27%
01/14/2025,"114,804.17","114,541.46","115,044.79","113,836.61",258.82M,0.50%
01/13/2025,"114,230.06","113,715.50","114,496.09","113,083.86",198.49M,0.87%
01/10/2025,"113,247.29","112,544.62","113,554.07","112,013.59",216.22M,0.54%
01/09/2025,"112,638.26","114,313.00","114,329.95","112,594.67",268.88M,-1.32%
01/08/2025,"114,148.46","116,591.08","117,750.23","113,847.04",254.28M,-1.64%
01/07/2025,"116,052.68","116,667.55","116,843.41","113,677.50",401.23M,-0.17%
01/06/2025,"116,255.13","118,309.50","118,735.10","115,941.95",369.83M,-1.13%
01/03/2025,"117,586.98","117,484.90","117,891.62","115,580.02",398.07M,0.40%
01/02/2025,"117,119.66","117,150.31","118,367.81","116,857.61",383.72M,0.10%
01/01/2025,"117,008.08","115,258.12","117,341.03","114,719.89",465.17M,1.63%
12/31/2024,"115,126.90","116,700.02","116,700.02","114,804.81",580.52M,-0.11%
12/30/2024,"115,259.00","111,916.71","115,422.34","111,916.71",521.36M,3.51%
12/27/2024,"111,351.18","110,658.65","112,043.77","110,246.93",293.22M,0.84%
12/26/2024,"110,423.32","112,480.60","112,480.60","109,858.88",274.82M,-1.77%
12/24/2024,"112,414.81","114,987.83","115,036.50","112,294.42",352.68M,-1.33%
12/23/2024,"113,924.42","110,990.57","114,189.72","110,891.36",424.81M,4.03%
12/20/2024,"109,513.15","106,073.21","109,846.64","105,601.04",321.98M,3.05%
12/19/2024,"106,274.98","110,140.75","111,745.03","105,937.37",531.31M,-4.32%
12/18/2024,"111,070.29","114,854.05","116,236.71","110,896.27",507.24M,-3.30%
